NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
200,200,200,200,200
